run_id,workload,block_id,sequence_index,timestamp,timestamp_ns,checkpoint,variant,raw_elapsed_ns,operations_per_run,ns_per_operation,result,cpu_affinity,control_candidate_role
p7-p9-v2-6ae9e1f,P8,block-008,58,2026-08-22T16:24:08.398974+00:00,1787415848398997026,C,O3,4754866,512,9286.84765625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-008,59,2026-08-22T16:24:08.401892+00:00,1787415848401915911,H4,O0,2838606,512,5544.15234375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-008,60,2026-08-22T16:24:08.405319+00:00,1787415848405344767,H4,O1,3346497,512,6536.126953125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-008,61,2026-08-22T16:24:08.408740+00:00,1787415848408768409,H5,O0,3336703,512,6516.998046875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-008,62,2026-08-22T16:24:08.412001+00:00,1787415848412025379,H5,O1,3176101,512,6203.322265625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-008,63,2026-08-22T16:24:08.417283+00:00,1787415848417309377,C,O0,5200949,512,10158.103515625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-009,64,2026-08-22T16:24:08.422238+00:00,1787415848422267466,C,O3,4796322,512,9367.81640625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-009,65,2026-08-22T16:24:08.426682+00:00,1787415848426706252,H4,O0,4343698,512,8483.78515625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-009,66,2026-08-22T16:24:08.430077+00:00,1787415848430101219,H4,O1,3318109,512,6480.681640625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-009,67,2026-08-22T16:24:08.434213+00:00,1787415848434239214,H5,O0,4052687,512,7915.404296875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-009,68,2026-08-22T16:24:08.438048+00:00,1787415848438072314,H5,O1,3754361,512,7332.736328125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-009,69,2026-08-22T16:24:08.442779+00:00,1787415848442803431,C,O0,4647988,512,9078.1015625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-009,70,2026-08-22T16:24:08.448858+00:00,1787415848448891731,C,O2,5983633,512,11686.783203125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-010,71,2026-08-22T16:24:08.452755+00:00,1787415848452781921,H4,O0,3795141,512,7412.384765625,7560,taskset -c 0,candidate
