run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b,block-008,50,17,2026-08-22T16:18:42.284238+00:00,1787415522284258303,H5,O1,tiny_04_arr,107083309,10000,10708.3309,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-008,51,16,2026-08-22T16:18:42.389711+00:00,1787415522389733912,H4,O1,tiny_04_arr,105403850,10000,10540.385,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-008,52,16,2026-08-22T16:18:42.392060+00:00,1787415522392076736,C,O2,tiny_04_arr,2282155,10000,228.2155,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,53,17,2026-08-22T16:18:42.393695+00:00,1787415522393709861,C,O2,tiny_04_arr,1579626,10000,157.9626,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,54,17,2026-08-22T16:18:42.501827+00:00,1787415522501848486,H4,O1,tiny_04_arr,108075315,10000,10807.5315,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,55,18,2026-08-22T16:18:42.607701+00:00,1787415522607730343,H5,O1,tiny_04_arr,105780499,10000,10578.0499,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,56,18,2026-08-22T16:18:42.715243+00:00,1787415522715259596,H4,O1,tiny_04_arr,107469274,10000,10746.9274,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,57,18,2026-08-22T16:18:42.716786+00:00,1787415522716803583,C,O2,tiny_04_arr,1486558,10000,148.6558,taskset -c 0,control
p1-v2-primary-3716b0b,block-009,58,19,2026-08-22T16:18:42.719069+00:00,1787415522719087348,C,O2,tiny_04_arr,2215906,10000,221.5906,taskset -c 0,control
p1-v2-primary-3716b0b,block-009,59,19,2026-08-22T16:18:42.822534+00:00,1787415522822553053,H4,O1,tiny_04_arr,103407466,10000,10340.7466,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,60,19,2026-08-22T16:18:42.925799+00:00,1787415522925818232,H5,O1,tiny_04_arr,103207099,10000,10320.7099,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-010,61,20,2026-08-22T16:18:43.030392+00:00,1787415523030409796,H4,O1,tiny_04_arr,104526886,10000,10452.6886,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-010,62,20,2026-08-22T16:18:43.032154+00:00,1787415523032174409,C,O2,tiny_04_arr,1706263,10000,170.6263,taskset -c 0,control
p1-v2-primary-3716b0b,block-010,63,21,2026-08-22T16:18:43.033826+00:00,1787415523033842248,C,O2,tiny_04_arr,1554061,10000,155.4061,taskset -c 0,control
p1-v2-primary-3716b0b,block-010,64,21,2026-08-22T16:18:43.138273+00:00,1787415523138290257,H4,O1,tiny_04_arr,104390610,10000,10439.061,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-010,65,20,2026-08-22T16:18:43.242758+00:00,1787415523242776274,H5,O1,tiny_04_arr,104427048,10000,10442.7048,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-010,66,21,2026-08-22T16:18:43.347376+00:00,1787415523347394976,H5,O1,tiny_04_arr,104489044,10000,10448.9044,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-011,67,22,2026-08-22T16:18:43.349445+00:00,1787415523349464725,C,O2,tiny_04_arr,1955860,10000,195.586,taskset -c 0,control
p1-v2-primary-3716b0b,block-011,68,23,2026-08-22T16:18:43.351375+00:00,1787415523351399215,C,O2,tiny_04_arr,1854852,10000,185.4852,taskset -c 0,control
p1-v2-primary-3716b0b,block-011,69,22,2026-08-22T16:18:43.460544+00:00,1787415523460561413,H4,O1,tiny_04_arr,109104279,10000,10910.4279,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-011,70,22,2026-08-22T16:18:43.567995+00:00,1787415523568014878,H5,O1,tiny_04_arr,107391326,10000,10739.1326,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-011,71,23,2026-08-22T16:18:43.672319+00:00,1787415523672337010,H5,O1,tiny_04_arr,104265243,10000,10426.5243,taskset -c 0,candidate
